Date,Time,Temperature(C),Humidity(%),GPOA(W/M2),EDS/CTRL(#),Voc_Before(V),Voc_After(V),Isc_Before(A),Isc_After(A),Pout_Before(W),Pout_After(W),PR_Before,PR_After,SI_Before,SI_After
8/25/2020,10:00:01,21.8,62.5,23.832,EDS-PV4,18.66,18.66,0.05,0.05,0.91,0.91,3.18,3.18,3.09,3.09
8/25/2020,10:02:19,21.82,62.5,24.331,CTRL-PV1,17.73,N/A,0.04,N/A,0.69,N/A,2.36,N/A,2.42,N/A
8/25/2020,10:02:33,21.82,62.5,24.397,CTRL-PV2,18.1,N/A,0.05,N/A,0.88,N/A,3.01,N/A,3.01,N/A
8/25/2020,11:00:03,22.71,61.2,35.864,EDS-PV5,18.35,18.35,0.06,0.06,1.07,1.07,2.49,2.49,2.46,2.46
8/25/2020,11:02:21,22.68,61.2,34.848,CTRL-PV1,18.35,N/A,0.05,N/A,0.89,N/A,2.13,N/A,2.11,N/A
8/25/2020,11:02:36,22.64,61.2,33.796,CTRL-PV2,18.53,N/A,0.07,N/A,1.26,N/A,3.11,N/A,3.05,N/A
8/25/2020,11:41:03,23.51,59,44.883,EDS-PV1,18.72,18.72,0.06,0.06,1.09,1.09,2.02,2.02,1.97,1.97
8/25/2020,11:43:21,23.52,59,45.043,CTRL-PV1,18.78,N/A,0.06,N/A,1.1,N/A,2.04,N/A,1.96,N/A
8/25/2020,11:43:35,23.59,59,47.089,CTRL-PV2,19.4,N/A,0.09,N/A,1.7,N/A,3.01,N/A,2.81,N/A
8/25/2020,12:00:01,22.27,60.2,19.926,CTRL-PV1,17.36,N/A,0.08,N/A,1.35,N/A,5.65,N/A,5.9,N/A
8/25/2020,12:00:16,22.27,60.2,19.832,CTRL-PV2,17.61,N/A,0.08,N/A,1.37,N/A,5.76,N/A,5.93,N/A
8/25/2020,12:00:30,22.27,60.2,19.82,EDS-PV1,17.67,N/A,0.05,N/A,0.86,N/A,3.62,N/A,3.71,N/A
8/25/2020,12:00:45,22.27,60.2,19.827,EDS-PV2,17.18,N/A,0.06,N/A,1,N/A,4.2,N/A,4.45,N/A
8/25/2020,12:01:00,22.27,60.2,19.814,EDS-PV3,17.49,N/A,0.07,N/A,1.19,N/A,5,N/A,5.2,N/A
8/25/2020,12:01:14,22.27,60.2,19.799,EDS-PV4,18.23,N/A,0.07,N/A,1.24,N/A,5.22,N/A,5.2,N/A
8/25/2020,12:01:29,22.27,60.2,19.818,EDS-PV5,17.43,N/A,0.08,N/A,1.36,N/A,5.72,N/A,5.94,N/A
8/25/2020,13:00:02,24.43,53.4,45.414,EDS-PV2,18.53,18.59,0.06,0.08,1.08,1.45,1.98,2.66,1.94,2.59
8/25/2020,13:02:20,24.56,53.4,49.213,CTRL-PV1,18.9,N/A,0.07,N/A,1.29,N/A,2.18,N/A,2.09,N/A
8/25/2020,13:02:34,24.61,53.4,50.737,CTRL-PV2,19.83,N/A,0.12,N/A,2.32,N/A,3.81,N/A,3.48,N/A
